key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,word,ground_truth,image,category,distance_x,distance_y,participant,session,date,expName,psychopyVersion,frameRate
w,2.593,n,1.26,space,2.726,n,1.003,1,0,48,0,1,47,sword,w,blank.png,high_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.711,1,0,48,1,1,47,tea,w,blank.png,low_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.758,1,0,48,2,1,47,jears,n,EmjAp68.png,nonse_high,0.2,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.644,1,0,48,3,1,47,title,w,EmjAp22.png,low_med,0.17,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.793,1,0,48,4,1,47,dust,w,EmjAp22.png,med_med,205,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.877,1,0,48,5,1,47,meel,n,EmjAp34.png,nonse_low,0.2,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.745,1,0,48,6,1,47,phomy,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.877,1,0,48,7,1,47,fible,n,EmjAp22.png,nonse_med,0.185,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.644,1,0,48,8,1,47,grain,w,EmjAp68.png,low_high,0.2,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,1.011,1,0,48,9,1,47,amose,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.677,1,0,48,10,1,47,shock,w,EmjAp68.png,high_high,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,1.077,1,0,48,11,1,47,lates,n,EmjAp68.png,nonse_high,0.195,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.644,1,0,48,12,1,47,flame,w,EmjAp22.png,high_med,0.213,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.86,1,0,48,13,1,47,romance,w,EmjAp34.png,high_low,0.27,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.878,1,0,48,14,1,47,tex,n,EmjAp22.png,nonse_med,0.16,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.727,1,0,48,15,1,47,whool,n,EmjAp22.png,nonse_med,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.645,1,0,48,16,1,47,tovel,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.711,1,0,48,17,1,47,pupil,w,EmjAp34.png,med_low,0.2,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.593,1,0,48,18,1,47,air,w,blank.png,med_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.928,1,0,48,19,1,47,detry,n,EmjAp34.png,nonse_low,0.205,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.545,1,0,48,20,1,47,liberty,w,EmjAp68.png,med_high,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.86,1,0,48,21,1,47,slame,n,EmjAp34.png,nonse_low,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.744,1,0,48,22,1,47,blanket,w,EmjAp34.png,low_low,0.24,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.677,1,0,48,23,1,47,mill,w,blank.png,low_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.875,1,0,48,24,1,47,utoa,n,EmjAp22.png,nonse_med,0.19,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.827,1,0,48,25,1,47,manner,w,EmjAp68.png,med_high,0.245,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.711,1,0,48,26,1,47,bagle,n,EmjAp68.png,nonse_high,0.21,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.894,1,0,48,27,1,47,riot,w,EmjAp34.png,high_low,0.165,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.862,1,0,48,28,1,47,shick,n,EmjAp34.png,nonse_low,0.205,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.594,1,0,48,29,1,47,level,w,EmjAp22.png,low_med,0.19,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.66,1,0,48,30,1,47,minur,n,EmjAp34.png,nonse_low,0.212,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.527,1,0,48,31,1,47,sex,w,EmjAp68.png,high_high,0.16,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.528,1,0,48,32,1,47,abuse,w,blank.png,high_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,0.71,1,0,48,33,1,47,ciat,n,blank.png,nonse_none,0.22,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,n,1.245,1,0,48,34,1,47,dright,n,EmjAp22.png,nonse_med,0.215,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
,,,,,,w,0.577,1,0,48,35,1,47,glory,w,EmjAp22.png,high_med,0.202,0,Ben,001,2019-05-30_18h28.34.165,word_arousal,3.1.2,60
